segm_idx,tablet_CDLI,view_desc,collection,bbox,scale,assigned
300,P334733,Rev,saa10,"[261, 812, 613, 1295]",3.67,True
308,P334470,Obv,saa10,"[234, 655, 479, 1078]",2.56,True
312,P314341,Obv,saa10,"[403, 59, 879, 790]",2.57,True
315,P314341,Rev,saa10,"[402, 1135, 860, 1857]",2.57,True
320,P334289,Obv,saa10,"[363, 76, 822, 939]",3.06,True
322,P334289,Rev,saa10,"[369, 1282, 822, 2142]",3.06,True
326,P313418,Obv,saa10,"[595, 550, 1636, 1148]",1.86,True
333,P313418,Rev,saa10,"[610, 2147, 1670, 2746]",1.86,True
337,P334226,Obv,saa10,"[363, 67, 843, 948]",2.29,True
343,P334226,Rev,saa10,"[371, 1204, 848, 2074]",2.29,True
346,P334228,Obv,saa10,"[355, 65, 731, 867]",2.2,True
350,P334228,Rev,saa10,"[326, 1178, 702, 1974]",2.2,True
354,P334233,Rev,saa10,"[382, 80, 870, 842]",2.69,True
358,P334233,Obv,saa10,"[381, 1113, 865, 1853]",2.69,True
364,P313520,Obv,saa10,"[614, 139, 1160, 1320]",2.18,True
369,P313520,Rev,saa10,"[633, 2554, 1145, 3737]",2.18,True
375,P313538,Obv,saa10,"[424, 267, 750, 590]",3.08,True
380,P334006,Obv,saa10,"[278, 174, 505, 536]",3.51,True
387,P334006,Rev,saa10,"[275, 694, 502, 1053]",3.51,True
391,P334451,Obv,saa10,"[919, 322, 1444, 701]",2.6,True
394,P334802,Obv,saa10,"[291, 66, 680, 676]",3.56,True
401,P334747,Obv,saa10,"[388, 50, 971, 718]",3.07,True
405,P334747,Rev,saa10,"[379, 1045, 977, 1720]",3.07,True
411,P334431,Obv,saa10,"[1040, 317, 1585, 1123]",2.05,True
414,P334431,Rev,saa10,"[1068, 1530, 1591, 2330]",2.05,True
422,P334087,Obv,saa10,"[412, 68, 687, 498]",3.09,True
427,P334087,Rev,saa10,"[412, 667, 688, 1097]",3.09,True
431,P237306,Obv,saa10,"[276, 58, 978, 492]",2.92,True
441,P333995,Obv,saa10,"[670, 374, 1352, 1690]",2.34,True
448,P333995,Rev,saa10,"[660, 2768, 1332, 4078]",2.34,True
452,P313708,Obv,saa10,"[554, 244, 946, 850]",2.14,True
460,P334254,Obv,saa10,"[332, 67, 772, 912]",3.12,True
463,P334254,Rev,saa10,"[332, 1243, 768, 2074]",3.12,True
467,P334276,Obv,saa10,"[457, 447, 1017, 1610]",2.29,True
474,P334276,Rev,saa10,"[436, 2786, 1012, 3952]",2.29,True
479,P334628,Obv,saa10,"[753, 482, 1456, 748]",2.84,True
485,P334628,Rev,saa10,"[754, 1027, 1196, 1291]",2.84,True
491,P313994,Obv,saa10,"[544, 801, 1122, 1651]",2.57,True
499,P313994,Rev,saa10,"[560, 2396, 1129, 3249]",2.57,True
508,P237926,Obv,saa10,"[589, 252, 1109, 1156]",2.74,True
511,P237926,Rev,saa10,"[571, 1422, 1103, 2336]",2.74,True
517,P314178,Obv,saa10,"[245, 54, 544, 486]",3.01,True
520,P314178,Rev,saa10,"[239, 689, 542, 1122]",3.01,True
525,P313896,Obv,saa10,"[246, 55, 449, 442]",3.13,True
534,P334526,Obv,saa10,"[357, 89, 736, 575]",2.76,True
541,P334734,Obv,saa10,"[316, 61, 808, 593]",2.66,True
543,P334734,Rev,saa10,"[320, 881, 804, 1435]",2.66,True
552,P333996,Obv,saa10,"[586, 334, 944, 1045]",2.66,True
561,P334024,Obv,saa10,"[576, 392, 1205, 1635]",2.12,True
565,P334024,Rev,saa10,"[595, 2338, 1214, 3581]",2.12,True
573,P334604,Obv,saa10,"[281, 63, 542, 533]",3.43,True
575,P334604,Rev,saa10,"[295, 684, 554, 1155]",3.43,True
579,P334218,Obv,saa10,"[296, 63, 695, 743]",2.52,True
583,P334218,Rev,saa10,"[296, 1012, 697, 1692]",2.52,True
587,P333962,Obv,saa10,"[316, 95, 637, 701]",3.29,True
597,P334722,Obv,saa10,"[307, 64, 714, 508]",2.77,True
601,P334722,Rev,saa10,"[317, 934, 711, 1389]",2.77,True
605,P334255,Obv,saa10,"[316, 79, 679, 752]",3.0,True
608,P334255,Rev,saa10,"[323, 1043, 682, 1715]",3.0,True
612,P313463,Rev,saa10,"[745, 155, 1248, 724]",2.34,True
617,P313463,Obv,saa10,"[754, 1016, 1264, 1579]",2.34,True
623,P237937,Obv,saa10,"[555, 281, 1589, 855]",2.15,True
631,P237937,Rev,saa10,"[557, 1692, 1615, 2280]",2.15,True
639,P333981,Obv,saa10,"[549, 203, 1073, 1134]",2.07,True
643,P333981,Rev,saa10,"[546, 1384, 1060, 2369]",2.07,True
649,P237763,Obv,saa10,"[319, 293, 632, 823]",2.98,True
655,P237763,Rev,saa10,"[314, 953, 618, 1475]",2.98,True
658,P314020,Rev,saa10,"[740, 102, 1121, 594]",2.21,True
664,P314020,Obv,saa10,"[741, 916, 1080, 1389]",2.21,True
669,P334236,Obv,saa10,"[335, 73, 771, 871]",2.28,True
673,P334236,Rev,saa10,"[335, 1192, 771, 1988]",2.28,True
676,P334675,Rev,saa10,"[478, 52, 912, 623]",4.0,True
682,P334675,Obv,saa10,"[473, 810, 917, 1356]",4.0,True
686,P314337,Obv,saa10,"[453, 74, 912, 986]",2.15,True
689,P314337,Rev,saa10,"[459, 1384, 912, 2293]",2.15,True
695,P334010,Obv,saa10,"[802, 486, 1218, 979]",2.41,True
699,P334010,Rev,saa10,"[794, 1268, 1209, 1753]",2.41,True
706,P334232,Obv,saa10,"[302, 315, 821, 1314]",2.67,True
710,P334232,Rev,saa10,"[297, 1583, 825, 2585]",2.67,True
722,P334775,Obv,saa10,"[358, 51, 1018, 555]",3.69,True
725,P334775,Rev,saa10,"[372, 845, 1016, 1349]",3.69,True
728,P334882,Obv,saa10,"[344, 30, 692, 235]",4.0,True
729,P334882,Rev,saa10,"[353, 287, 704, 441]",4.0,True
736,P334267,Obv,saa10,"[301, 62, 711, 724]",2.79,True
740,P334267,Rev,saa10,"[313, 917, 703, 1586]",2.79,True
744,P334460,Obv,saa10,"[356, 58, 847, 820]",2.69,True
748,P334460,Rev,saa10,"[352, 1076, 847, 1840]",2.69,True
751,P334323,Obv,saa10,"[0, 0, 1754, 2938]",0.7,True
760,P238936,Obv,saa10,"[115, 6, 571, 531]",2.61,True
766,P238936,Rev,saa10,"[123, 564, 596, 1087]",2.61,True
770,P334008,Obv,saa10,"[554, 101, 986, 931]",2.84,True
777,P334008,Rev,saa10,"[557, 1554, 986, 2380]",2.84,True
784,P334066,Obv,saa10,"[783, 556, 1367, 1337]",2.38,True
791,P334066,Rev,saa10,"[805, 1697, 1397, 2496]",2.38,True
797,P313656,Obv,saa10,"[851, 169, 1492, 1203]",2.63,True
808,P313534,Obv,saa10,"[282, 177, 522, 484]",2.47,True
813,P313534,Rev,saa10,"[260, 612, 524, 902]",2.47,True
820,P334387,Obv,saa10,"[636, 141, 1116, 1047]",2.39,True
825,P334387,Rev,saa10,"[650, 1961, 1156, 2916]",2.39,True
830,P334525,Obv,saa10,"[305, 66, 623, 473]",3.05,True
840,P313460,Rev,saa10,"[528, 171, 1025, 884]",1.11,True
846,P313460,Obv,saa10,"[553, 1816, 1024, 2501]",1.11,True
849,P334461,Obv,saa10,"[405, 61, 987, 984]",2.4,True
854,P334461,Rev,saa10,"[408, 1306, 987, 2220]",2.4,True
858,P237270,Obv,saa10,"[393, 57, 1122, 1297]",2.69,True
862,P237270,Rev,saa10,"[398, 1637, 1121, 2872]",2.69,True
869,P237791,Obv,saa10,"[605, 274, 1103, 1220]",2.72,True
872,P237791,Rev,saa10,"[625, 1482, 1123, 2418]",2.72,True
880,P314306,Rev,saa10,"[348, 63, 763, 546]",2.45,True
882,P314306,Obv,saa10,"[339, 874, 762, 1370]",2.45,True
886,P334605,Obv,saa10,"[300, 60, 691, 735]",2.57,True
889,P334605,Rev,saa10,"[297, 1016, 691, 1693]",2.57,True
894,P333967,Obv,saa10,"[985, 572, 1533, 1542]",1.63,True
901,P333967,Rev,saa10,"[994, 2634, 1542, 3599]",1.63,True
907,P334600,Obv,saa10,"[473, 432, 1210, 1385]",1.74,True
911,P334600,Rev,saa10,"[486, 1765, 1218, 2717]",1.74,True
923,P333998,Obv,saa10,"[517, 273, 974, 1106]",3.92,True
927,P333998,Rev,saa10,"[514, 1636, 967, 2465]",3.92,True
933,P313764,Rev,saa10,"[48, 2, 362, 556]",2.68,True
940,P313443,Obv,saa10,"[749, 481, 1180, 1285]",1.84,True
947,P313443,Rev,saa10,"[506, 2857, 1430, 3479]",1.84,True
949,P314309,Obv,saa10,"[314, 40, 706, 706]",2.27,True
953,P314309,Rev,saa10,"[319, 956, 715, 1618]",2.27,True
959,P334681,Obv,saa10,"[419, 60, 923, 723]",3.74,True
964,P334681,Rev,saa10,"[426, 1199, 918, 1874]",3.74,True
970,P334488,Obv,saa10,"[361, 77, 656, 635]",2.17,True
979,P313572,Rev,saa10,"[411, 404, 1002, 1093]",2.12,True
981,P313572,Obv,saa10,"[419, 1499, 1000, 2192]",2.12,True
984,P313771,Obv,saa10,"[559, 251, 1021, 862]",2.93,True
987,P313771,Rev,saa10,"[566, 1214, 1040, 1878]",2.93,True
1003,P314324,Obv,saa10,"[296, 66, 817, 316]",2.7,True
1007,P314324,Rev,saa10,"[288, 990, 818, 1230]",2.7,True
1010,P334275,Obv,saa10,"[359, 60, 825, 910]",2.79,True
1017,P334275,Rev,saa10,"[371, 1855, 824, 2700]",2.79,True
1023,P333978,Obv,saa10,"[551, 80, 962, 811]",2.31,True
1028,P333978,Rev,saa10,"[556, 1480, 962, 2203]",2.31,True
1038,P333957,Obv,saa10,"[442, 84, 712, 607]",4.0,True
1042,P333957,Rev,saa10,"[440, 756, 712, 1281]",4.0,True
1049,P334026,Obv,saa10,"[299, 117, 590, 695]",3.11,True
1053,P334026,Rev,saa10,"[304, 1187, 598, 1765]",3.11,True
1061,P334452,Obv,saa10,"[412, 400, 955, 1383]",2.46,True
1065,P334452,Rev,saa10,"[424, 2343, 959, 3330]",2.46,True
1070,P334238,Obv,saa10,"[395, 92, 851, 944]",2.55,True
1073,P334238,Rev,saa10,"[397, 1308, 851, 2166]",2.55,True
1079,P333965,Obv,saa10,"[847, 297, 1353, 805]",2.26,True
1088,P334164,Obv,saa10,"[615, 85, 1009, 800]",3.5,True
1095,P334164,Rev,saa10,"[636, 1603, 1035, 2308]",3.5,True
1099,P334297,Obv,saa10,"[343, 63, 695, 649]",2.09,True
1107,P334320,Obv,saa10,"[439, 71, 841, 673]",3.24,True
1115,P334320,Rev,saa10,"[431, 1413, 841, 2003]",3.24,True
1123,P333977,Obv,saa10,"[341, 213, 627, 717]",3.73,True
1128,P333977,Rev,saa10,"[333, 1118, 611, 1624]",3.73,True
1131,P334645,Obv,saa10,"[431, 60, 917, 861]",2.95,True
1136,P334645,Rev,saa10,"[432, 1352, 902, 2135]",2.95,True
1145,P333984,Obv,saa10,"[264, 194, 809, 816]",3.76,True
1149,P333984,Rev,saa10,"[321, 1109, 807, 1724]",3.76,True
1153,P334088,Obv,saa10,"[461, 82, 881, 535]",2.8,True
1159,P334088,Rev,saa10,"[468, 967, 870, 1410]",2.8,True
1163,P334448,Obv,saa10,"[12, 12, 997, 2828]",1.82,True
1164,P334448,Rev,saa10,"[376, 78, 712, 774]",1.82,True
1175,P334246,Obv,saa10,"[275, 57, 623, 712]",3.14,True
1178,P334246,Rev,saa10,"[277, 904, 616, 1551]",3.14,True
1190,P314335,Rev,saa10,"[258, 73, 676, 361]",2.94,True
1209,P333976,Obv,saa10,"[578, 280, 970, 979]",3.78,True
1212,P333976,Rev,saa10,"[581, 1416, 977, 2115]",3.78,True
1220,P313564,Obv,saa10,"[379, 78, 837, 613]",2.97,True
1222,P313564,Rev,saa10,"[381, 927, 837, 1460]",2.97,True
1225,P333974,Obv,saa10,"[554, 85, 936, 765]",2.9,True
1234,P333974,Rev,saa10,"[564, 1234, 929, 1901]",2.9,True
1238,P334230,Obv,saa10,"[396, 88, 858, 949]",2.88,True
1242,P334230,Rev,saa10,"[396, 1316, 851, 2171]",2.88,True
1247,P334582,Obv,saa10,"[265, 69, 647, 772]",2.36,True
1251,P334582,Rev,saa10,"[263, 1010, 640, 1698]",2.36,True
1255,P313830,Obv,saa10,"[442, 77, 818, 786]",2.05,True
1259,P313830,Rev,saa10,"[466, 1112, 824, 1823]",2.05,True
1264,P237964,Obv,saa10,"[799, 388, 1384, 1447]",1.75,True
1272,P237964,Rev,saa10,"[812, 2435, 1375, 3433]",1.75,True
1280,P237826,Obv,saa10,"[360, 135, 656, 668]",3.53,True
1291,P334027,Obv,saa10,"[297, 66, 735, 918]",2.8,True
1296,P334027,Rev,saa10,"[303, 1564, 738, 2419]",2.8,True
1300,P334235,Obv,saa10,"[451, 85, 949, 974]",2.12,True
1307,P334235,Rev,saa10,"[451, 2004, 949, 2879]",2.12,True
1312,P334261,Obv,saa10,"[321, 71, 768, 950]",2.75,True
1314,P334261,Rev,saa10,"[326, 1194, 776, 2072]",2.75,True
1323,P336515,Obv,saa10,"[754, 1471, 1226, 2213]",1.3,True
1327,P334510,Obv,saa10,"[282, 56, 615, 466]",2.79,True
1336,P334630,Obv,saa10,"[422, 162, 1196, 840]",2.08,True
1340,P334630,Rev,saa10,"[441, 1106, 1199, 1786]",2.08,True
1346,P334469,Obv,saa10,"[388, 133, 874, 998]",2.05,True
1353,P334220,Obv,saa10,"[266, 232, 895, 1343]",2.64,True
1356,P334220,Rev,saa10,"[285, 1541, 911, 2634]",2.64,True
1357,P334003,Obv,saa10,"[540, 102, 772, 629]",3.91,True
1361,P334003,Rev,saa10,"[547, 618, 778, 1161]",3.91,True
1374,P336680,Obv,saa10,"[265, 68, 598, 403]",3.57,True
1383,P314279,Obv,saa10,"[498, 190, 962, 1143]",2.72,True
1389,P240176,Obv,saa10,"[348, 58, 847, 686]",1.98,True
1395,P334476,Obv,saa10,"[363, 48, 787, 619]",2.52,True
1400,P334476,Rev,saa10,"[367, 927, 789, 1485]",2.52,True
1406,P334215,Obv,saa10,"[257, 63, 637, 417]",3.19,True
1414,P333969,Obv,saa10,"[388, 87, 693, 621]",3.77,True
1420,P333969,Rev,saa10,"[382, 1011, 694, 1541]",3.77,True
1424,P334736,Obv,saa10,"[526, 59, 932, 604]",2.88,True
1434,P334770,Obv,saa10,"[265, 57, 799, 560]",3.86,True
1437,P334770,Rev,saa10,"[265, 781, 797, 1269]",3.86,True
1442,P334358,Obv,saa10,"[613, 70, 1009, 890]",2.63,True
1449,P334358,Rev,saa10,"[628, 1345, 1014, 2160]",2.63,True
1453,P334475,Obv,saa10,"[288, 46, 703, 472]",2.56,True
1457,P334475,Rev,saa10,"[293, 747, 703, 1167]",2.56,True
1464,P313611,Rev,saa10,"[373, 920, 888, 1549]",2.61,True
1468,P237811,Obv,saa10,"[386, 185, 748, 783]",4.0,True
1477,P237811,Rev,saa10,"[396, 1073, 752, 1521]",4.0,True
1486,P334426,Obv,saa10,"[750, 1830, 1330, 2635]",1.36,True
1493,P334876,Obv,saa10,"[229, 199, 633, 836]",2.53,True
1497,P334876,Rev,saa10,"[243, 1011, 658, 1649]",2.53,True
1501,P237462,Obv,saa10,"[873, 476, 1866, 1264]",2.78,True
1507,P237462,Rev,saa10,"[860, 2307, 1853, 3094]",2.78,True
1515,P334123,Obv,saa10,"[274, 72, 773, 655]",3.0,True
1519,P334123,Rev,saa10,"[441, 797, 765, 1362]",3.0,True
1523,P314333,Obv,saa10,"[309, 69, 755, 296]",2.88,True
1526,P314333,Rev,saa10,"[307, 603, 756, 874]",2.88,True
1536,P334277,Obv,saa10,"[398, 83, 803, 871]",2.97,True
1538,P334277,Rev,saa10,"[401, 1204, 808, 1992]",2.97,True
1545,P336236,Rev,saa10,"[402, 1147, 965, 1842]",3.0,True
1549,P334527,Obv,saa10,"[419, 78, 925, 1102]",2.67,True
1552,P334527,Rev,saa10,"[424, 1487, 935, 2500]",2.67,True
1556,P334409,Obv,saa10,"[854, 241, 1397, 851]",2.29,True
1564,P334409,Rev,saa10,"[863, 1652, 1409, 2240]",2.29,True
1570,P334511,Obv,saa10,"[352, 63, 821, 892]",2.72,True
1573,P334511,Rev,saa10,"[346, 1280, 815, 2098]",2.72,True
1577,P334655,Obv,saa10,"[809, 481, 1374, 1495]",2.55,True
1585,P334655,Rev,saa10,"[792, 2067, 1358, 3081]",2.55,True
1591,P334260,Obv,saa10,"[465, 74, 899, 884]",1.83,True
1595,P334260,Rev,saa10,"[455, 1113, 891, 1923]",1.83,True
1601,P334004,Obv,saa10,"[623, 129, 1089, 995]",1.89,True
1605,P334004,Rev,saa10,"[635, 1209, 1100, 2068]",1.89,True
1611,P333972,Obv,saa10,"[404, 79, 712, 643]",3.0,True
1617,P333972,Rev,saa10,"[404, 828, 712, 1390]",3.0,True
1622,P334760,Obv,saa10,"[256, 56, 580, 497]",2.22,True
1625,P334760,Rev,saa10,"[261, 746, 586, 1184]",2.22,True
1628,P313567,Obv,saa10,"[334, 62, 833, 947]",2.56,True
1632,P313567,Rev,saa10,"[337, 1235, 838, 2118]",2.56,True
1637,P313558,Obv,saa10,"[354, 83, 623, 591]",3.58,True
1642,P333966,Obv,saa10,"[844, 274, 1554, 853]",1.97,True
1648,P333966,Rev,saa10,"[852, 1214, 1576, 1855]",1.97,True
1656,P334690,Obv,saa10,"[50, 48, 452, 431]",2.57,True
1663,P237439,Obv,saa10,"[367, 343, 1049, 864]",1.71,True
1667,P237439,Rev,saa10,"[395, 1230, 1069, 1762]",1.71,True
1673,P333964,Obv,saa10,"[1256, 732, 2129, 2057]",1.58,True
1676,P333964,Rev,saa10,"[1246, 2547, 2100, 3865]",1.58,True
1682,P334378,Obv,saa10,"[1369, 239, 2281, 1860]",1.11,True
1691,P334378,Rev,saa10,"[1382, 3387, 2274, 4987]",1.11,True
1694,P334714,Obv,saa10,"[321, 86, 707, 631]",3.33,True
1700,P334714,Rev,saa10,"[327, 861, 704, 1396]",3.33,True
1705,P237237,Obv,saa10,"[366, 79, 757, 809]",1.97,True
1707,P237237,Rev,saa10,"[365, 1100, 765, 1842]",1.97,True
1713,P334031,Obv,saa10,"[1078, 464, 1725, 1814]",2.5,True
1721,P334031,Rev,saa10,"[1137, 2743, 1766, 4050]",2.5,True
1727,P237252,Obv,saa10,"[320, 78, 667, 544]",2.6,True
1730,P237252,Rev,saa10,"[326, 868, 672, 1343]",2.6,True
1734,P313531,Obv,saa10,"[454, 66, 685, 414]",3.62,True
1738,P313531,Rev,saa10,"[457, 644, 715, 959]",3.62,True
1744,P334459,Obv,saa10,"[571, 468, 1512, 1708]",1.31,True
1747,P334459,Rev,saa10,"[581, 2224, 1519, 3449]",1.31,True
1750,P334547,Obv,saa10,"[346, 63, 795, 917]",2.38,True
1752,P334547,Rev,saa10,"[346, 1203, 792, 2057]",2.38,True
1756,P334468,Obv,saa10,"[485, 208, 827, 767]",3.98,True
1761,P334468,Rev,saa10,"[496, 904, 839, 1443]",3.98,True
1768,P314373,Obv,saa10,"[282, 248, 890, 742]",2.12,True
1771,P314373,Rev,saa10,"[287, 980, 885, 1472]",2.12,True
1774,P313824,Obv,saa10,"[615, 60, 989, 728]",2.2,True
1778,P313824,Rev,saa10,"[625, 1021, 1024, 1654]",2.2,True
1784,P333991,Obv,saa10,"[1057, 274, 1685, 911]",1.73,True
1805,P333961,Obv,saa10,"[609, 288, 1036, 1092]",2.75,True
1811,P333961,Rev,saa10,"[602, 1738, 1036, 2543]",2.75,True
1816,P334490,Obv,saa10,"[348, 70, 709, 781]",2.58,True
1819,P334490,Rev,saa10,"[338, 1113, 704, 1819]",2.58,True
1823,P333973,Obv,saa10,"[395, 211, 649, 644]",3.35,True
1831,P333973,Rev,saa10,"[401, 1067, 797, 1512]",3.35,True
1836,P334619,Obv,saa10,"[687, 272, 1065, 861]",1.85,True
1844,P334128,Obv,saa10,"[805, 196, 1292, 1098]",1.69,True
1858,P334777,Obv,saa10,"[386, 70, 919, 1048]",1.18,True
1866,P313464,Obv,saa10,"[715, 80, 1131, 597]",3.26,True
1869,P313464,Rev,saa10,"[691, 978, 1115, 1519]",3.26,True
1876,P334374,Obv,saa10,"[568, 298, 916, 965]",2.95,True
1881,P334374,Rev,saa10,"[584, 1191, 934, 1850]",2.95,True
1888,P333975,Obv,saa10,"[700, 179, 1230, 1208]",3.45,True
1893,P333975,Rev,saa10,"[703, 1687, 1237, 2723]",3.45,True
1900,P334486,Obv,saa10,"[361, 81, 772, 877]",2.71,True
1904,P334486,Rev,saa10,"[364, 1722, 772, 2525]",2.71,True
1909,P334465,Obv,saa10,"[409, 129, 871, 1014]",2.86,True
1912,P334465,Rev,saa10,"[405, 1740, 871, 2623]",2.86,True
1915,P314170,Rev,saa10,"[287, 55, 621, 378]",2.72,True
1920,P314170,Obv,saa10,"[287, 578, 629, 877]",2.72,True
1926,P334748,Obv,saa10,"[287, 64, 646, 672]",2.0,True
1935,P334028,Obv,saa10,"[581, 272, 995, 915]",2.32,True
1939,P334028,Rev,saa10,"[590, 1174, 1002, 1826]",2.32,True
1947,P334571,Obv,saa10,"[462, 236, 825, 823]",2.08,True
1954,P334614,Obv,saa10,"[619, 333, 993, 1040]",2.97,True
1964,P334614,Rev,saa10,"[608, 1715, 993, 2413]",2.97,True
1967,P334832,Rev,saa10,"[341, 87, 834, 609]",2.92,True
1972,P334832,Obv,saa10,"[365, 901, 855, 1414]",2.92,True
1977,P334757,Obv,saa10,"[303, 57, 1087, 550]",3.09,True
1980,P334757,Rev,saa10,"[313, 855, 1075, 1351]",3.09,True
1986,P238595,Obv,saa10,"[717, 335, 1540, 1007]",2.35,True
1989,P238595,Rev,saa10,"[717, 1384, 1531, 2012]",2.35,True
1993,P334719,Rev,saa10,"[315, 51, 751, 475]",3.0,True
1996,P334719,Obv,saa10,"[299, 720, 754, 1134]",3.0,True
2005,P333980,Obv,saa10,"[882, 622, 1444, 1393]",1.82,True
2009,P333980,Rev,saa10,"[886, 1733, 1444, 2510]",1.82,True
2014,P334313,Obv,saa10,"[935, 326, 1430, 1178]",2.66,True
2019,P334313,Rev,saa10,"[927, 1835, 1415, 2661]",2.66,True
2028,P334217,Obv,saa10,"[380, 376, 996, 1254]",2.87,True
2031,P334217,Rev,saa10,"[382, 1529, 1002, 2421]",2.87,True
2036,P333989,Obv,saa10,"[981, 340, 1587, 1425]",2.31,True
2041,P333989,Rev,saa10,"[1007, 1815, 1613, 2891]",2.31,True
2050,P334301,Obv,saa10,"[765, 476, 1401, 1504]",3.1,True
2057,P334301,Rev,saa10,"[757, 2194, 1388, 3223]",3.1,True
2065,P334626,Obv,saa10,"[634, 152, 1311, 976]",4.0,True
2076,P333986,Obv,saa10,"[942, 274, 1638, 1271]",2.41,True
2079,P333986,Rev,saa10,"[976, 1677, 1641, 2644]",2.41,True
2088,P334126,Obv,saa10,"[523, 96, 857, 754]",2.59,True
2092,P334126,Rev,saa10,"[522, 948, 845, 1599]",2.59,True
2097,P334879,Rev,saa10,"[305, 276, 751, 701]",3.38,True
